,cueExample,targetExample,cue,response,count,rank,p
1,abogado,corte,doctor,hospital,58,1,0.651685393258427
2,amigos,felicidad,jefe,trabajo,15,1,0.159574468085106
3,árbol,hojas,flor,pétalos,67,1,0.644230769230769
4,Argentina,Buenos_Aires,Brasil,Brasilia,87,1,0.90625
5,ave,ala,delfín,aleta,79,1,0.858695652173913
6,ave,paloma,insecto,mosca,25,1,0.284090909090909
7,ave,pingüino,mamífero,ballena,20,1,0.198019801980198
8,avión,piloto,tren,maquinista,34,1,0.404761904761905
9,bailarín,bailar,albañil,construir,69,1,0.683168316831683
10,bebé,cigüeña,regalo,Papá_Noel,32,1,0.359550561797753
11,bebida,leche,comida,pan,40,1,0.380952380952381
12,blanco,negro,rojo,azul,52,1,0.536082474226804
13,Brasil,samba,Cuba,salsa,57,1,0.6
14,caballero,espada,vaquero,pistola,32,1,0.326530612244898
15,caballo,jinete,moto,motociclista,44,1,0.530120481927711
16,campera,buzo,buzo,remera,33,1,0.358695652173913
17,cerebro,pensamiento,corazón,sentimiento,48,1,0.564705882352941
18,China,Asia,Rusia,Eurasia,38,1,0.372549019607843
19,cirujano,bisturí,locutor,micrófono,89,1,0.956989247311828
20,ciudad,Montevideo,país,Uruguay,88,1,0.88
21,cordón,zapato,cinturón,pantalón,77,1,0.83695652173913
22,cristianismo,iglesia,judaísmo,sinagoga,73,1,0.760416666666667
23,cuadro,pintor,estatua,escultor,93,1,0.948979591836735
24,cubierto,tenedor,herramienta,martillo,56,1,0.602150537634409
25,cuerda,guitarra,tecla,piano,84,1,0.923076923076923
26,desayuno,cocina,cena,cocina,39,1,0.410526315789474
27,destornillador,tornillo,martillo,clavo,88,1,0.98876404494382
28,escuela,niño,universidad,joven,39,1,0.433333333333333
29,esmalte,uñas,lápiz_labial,labios,83,1,0.846938775510204
30,estufa,gas,chimenea,leña,77,1,0.754901960784314
31,Francia,París,Estados_Unidos,Washington,92,1,0.901960784313726
32,frío,caliente,seco,mojado,55,1,0.561224489795918
33,fruta,árbol,verdura,planta,43,1,0.40952380952381
34,fruta,manzana,carne,vaca,14,1,0.162790697674419
35,fútbol,estadio,estudio,escuela,17,1,0.2
36,gallina,ave,vaca,mamífero,66,1,0.725274725274725
37,garage,auto,puerto,barco,93,1,0.939393939393939
38,gato,felino,perro,canino,64,1,0.65979381443299
39,hamburguesa,Estados_Unidos,tallarines,Italia,89,1,0.917525773195876
40,juicio,juzgado,recital,estadio,20,1,0.210526315789474
41,lento,tortuga,rápido,liebre,60,1,0.58252427184466
42,libro,papel,mesa,madera,75,1,0.77319587628866
43,lluvia,tristeza,sol,alegría,71,1,0.651376146788991
44,martillo,clavo,sierra,madera,60,1,0.638297872340426
45,memoria,pasado,imaginación,futuro,83,1,0.783018867924528
46,mermelada,fruta,queso,leche,80,1,0.888888888888889
47,mujer,niño,gallina,pollito,56,1,0.56
48,oveja,cordero,vaca,ternero,78,1,0.804123711340206
49,paraguas,lluvia,gorro,frío,47,1,0.423423423423423
50,paraguas,lluvia,gorro,sol,47,1,0.423423423423423
51,París,Francia,Roma,Italia,77,1,0.939024390243902
52,paz,paloma,guerra,arma,17,1,0.2
53,peluquera,tijera,cocinero,cuchillo,34,1,0.326923076923077
54,perro,gato,gato,perro,50,1,0.5
55,perro,ladrar,ave,piar,37,1,0.349056603773585
56,perro,perrera,ave,jaula,62,1,0.584905660377358
57,pez,submarino,ave,avión,86,1,0.905263157894737
58,picnic,parque,asado,parrillero,32,1,0.323232323232323
59,pie,zapato,mano,guante,88,1,0.907216494845361
60,pirámide,momia,ataúd,cadáver,36,1,0.352941176470588
61,pistola,bala,arco,flecha,103,1,0.953703703703704
62,plato,mesa,libro,biblioteca,44,1,0.444444444444444
63,puerta,pestillo,caja,tapa,29,1,0.371794871794872
64,red,pesca,rifle,caza,77,1,0.762376237623762
65,rock,guitarra,tango,bandoneón,84,1,0.770642201834862
66,rojo,ira,azul,tristeza,28,1,0.291666666666667
67,ropa,pantalones,mueble,mesa,29,1,0.302083333333333
68,sábana,cama,mantel,mesa,99,1,0.99
69,selva,león,desierto,camello,63,1,0.65625
70,sushi,Japón,pizza,Italia,99,1,0.98019801980198
71,tela,algodón,metal,hierro,31,1,0.340659340659341
72,tereré,Paraguay,vino,Francia,28,1,0.282828282828283
73,tiburón,pez,pez,tiburón,19,1,0.2
74,tigre,rayas,mulita,caparazón,126,1,0.67379679144385
75,tornillo,destornillador,tuerca,llave,65,1,0.656565656565657
76,tornillo,ferretería,carne,carnicería,96,1,0.979591836734694
77,tren,vías,auto,carretera,36,1,0.36
78,Uruguay,fútbol,Estados_Unidos,béisbol,40,1,0.481927710843373
79,vodka,Rusia,cerveza,Alemania,92,1,0.85981308411215
80,volante,auto,manubrio,bicicleta,75,1,0.78125
