cueEjemplo,targetEjemplo,cue,response
hormiga,insecto,castor,roedor
hormiga,insecto,abeja,insecto
hormiga,insecto,bufalo,bovino
hormiga,insecto,mariposa,insecto
hormiga,insecto,gato,felino
hormiga,insecto,pollo,ave
hormiga,insecto,chimpance,primate
hormiga,insecto,chinchilla,roedor
hormiga,insecto,cobra,culebra
hormiga,insecto,cucaracha,insecto
hormiga,insecto,vaca,bovino
hormiga,insecto,coyote,canino
hormiga,insecto,ciervo,bovino
hormiga,insecto,perro,canino
hormiga,insecto,pato,ave
hormiga,insecto,aguila,rapaz
hormiga,insecto,halcon,rapaz
hormiga,insecto,zorro,canino
castor,roedor,hormiga,insecto
castor,roedor,abeja,insecto
castor,roedor,bufalo,bovino
castor,roedor,mariposa,insecto
castor,roedor,gato,felino
castor,roedor,pollo,ave
castor,roedor,chimpance,primate
castor,roedor,chinchilla,roedor
castor,roedor,cobra,culebra
castor,roedor,cucaracha,insecto
castor,roedor,vaca,bovino
castor,roedor,coyote,canino
castor,roedor,ciervo,bovino
castor,roedor,perro,canino
castor,roedor,pato,ave
castor,roedor,aguila,rapaz
castor,roedor,halcon,rapaz
castor,roedor,zorro,canino
abeja,insecto,hormiga,insecto
abeja,insecto,castor,roedor
abeja,insecto,bufalo,bovino
abeja,insecto,mariposa,insecto
abeja,insecto,gato,felino
abeja,insecto,pollo,ave
abeja,insecto,chimpance,primate
abeja,insecto,chinchilla,roedor
abeja,insecto,cobra,culebra
abeja,insecto,cucaracha,insecto
abeja,insecto,vaca,bovino
abeja,insecto,coyote,canino
abeja,insecto,ciervo,bovino
abeja,insecto,perro,canino
abeja,insecto,pato,ave
abeja,insecto,aguila,rapaz
abeja,insecto,halcon,rapaz
abeja,insecto,zorro,canino
bufalo,bovino,hormiga,insecto
bufalo,bovino,castor,roedor
bufalo,bovino,abeja,insecto
bufalo,bovino,mariposa,insecto
bufalo,bovino,gato,felino
bufalo,bovino,pollo,ave
bufalo,bovino,chimpance,primate
bufalo,bovino,chinchilla,roedor
bufalo,bovino,cobra,culebra
bufalo,bovino,cucaracha,insecto
bufalo,bovino,vaca,bovino
bufalo,bovino,coyote,canino
