anunciar anunciante
creer creyente
componer compositora
consumir consumidora
contender contendiente
defender defensora
entregar entregadora
destruir destructora
determinar determinante
desarrollar desarrolladora
descubrir descubridora
comer comedora
entretener entretenedora
examinar examinadora
explorar exploradora
seguir seguidora
interpretar intérprete
intrusar intrusa
aprender aprendiz
escuchar oyente
perder perdedora
gestionar gestora
molestar molestadora
observar observadora
ofender ofensora
organizar organizadora
actuar actriz
predicar predicadora
promocionar promotora
proveer proveedora
recibir receptora
recomendar recomendadora
remitir remitente
matar matadora
hablar hablante
suscribir suscriptora
sufrir sufridora
enseñar enseñante
escribir escritora
