anunciar anunciante
creer creyente
componer compositor
consumir consumidor
contender contendiente
defender defensor
entregar entregador
destruir destructor
determinar determinante
desarrollar desarrollador
descubrir descubridor
comer comedor
entretener entretenedor
examinar examinador
explorar explorador
seguir seguidor
interpretar intérprete
intrusar intruso
aprender aprendiz
escuchar oyente
perder perdedor
gestionar gestor
molestar molestador
observar observador
ofender ofensor
organizar organizador
actuar actor
predicar predicador
promocionar promotor
proveer proveedor
recibir receptor
recomendar recomendador
remitir remitente
matar matador
hablar hablante
suscribir suscriptor
sufrir sufridor
enseñar enseñante
escribir escritor
