actor actriz
niño niña
hermano hermana
ciervo cierva
toro vaca
empresario empresaria
presidente presidenta
papá mamá
papi mami
duque duquesa
emperador emperatriz
padre madre
pescador pescadora
zorro zorra
caballero dama
dios diosa
abuelo abuela
abuelito abuelita
nieto nieta
novio novia
director directora
heredero heredera
héroe heroína
perro perra
esposo esposa
rey reina
león leona
hombre mujer
gerente gerenta
señor señora 
asesino asesina
sobrino sobrina
poeta poetisa
príncipe princesa
gallo gallina
escultor escultora
hijo hija
caballo yegua 
padrastro madrastra
tigre tigresa
tío tía
camarero camarera
profesor profesora
amigo amiga
