hormiga negra
manzana roja 
pizarrón negro 
sangre roja
arándano azul 
brócoli verde
moretón morado
repollo verde
zanahoria naranja 
coliflor blanca 
apio verde 
cereza roja 
nube blanca 
carbón negro
café negro
crema blanca
cuervo negro
pepino verde
esmeralda verde
rana verde 
uvas moradas
césped verde
hojas verdes 
leche blanca
papel blanco 
perejil verde
papa amarilla
rábano rojo 
cuervo negro
rosa roja 
rubí rojo
sal blanca
zafiro azul
mar azul 
cielo celeste
nieve blanca
espinaca verde
azúcar blanco 
sol amarillo 
cisne blanco 
tomate rojo
yogur blanco 
