capacidad capacidades
academia academias
actividad actividades
agencia agencias
análisis análisis
ejército ejércitos
autoridad autoridades
base bases
negocio negocios
categoría categorías
siglo siglos
niño niños
ciudad ciudades
comunidad comunidades
país países
condado condados
dato datos
derecho derechos
economía economías
energía energías
entrada entradas
instalación instalaciones
familia familias
fórmula fórmulas
historia historias
industria industrias
biblioteca bibliotecas
vida vidas
pérdida pérdidas
mayoría mayorías
memoria memorias
oportunidad oportunidades
política políticas
propiedad propiedades
responsabilidad responsabilidades
seguridad seguridades
secretario secretarios
serie series
sociedad sociedades
especie especies
historia historias
estrategia estrategias
éxito éxitos
tecnología tecnologías
teoría teorías
universidad universidades
variedad variedades
esposa esposas
mujer mujeres
álbum álbumes
aplicación aplicaciones
área áreas
coche coches
colegio colegios
consejo consejos
cliente clientes
día días
muerte muertes
departamento departamentos
desarrollo desarrollos
diferencia diferencias
director directores
evento eventos
ejemplo ejemplos
hecho hechos
amigo amigos
dios dioses
gobierno gobiernos
hora horas
idea ideas
lengua lenguas
derecho derechos
miembro miembros
mes meses
noche noches
oficina oficinas
periodo periodos
jugador jugadores
población poblaciones
problema problemas
producto productos
recurso recursos
río ríos
carretera carreteras
papel papeles
ciencia ciencias
solución soluciones
canción canciones
calle calles
estudiante estudiantes
sistema sistemas
cosa cosas
ciudad ciudades
usuario usuarios
versión versiones
pueblo pueblos
página  páginas
semana semanas
año años
