alcanzar alcanzando
añadir añadiendo
permitir permitiendo
aparecer apareciendo
aplicar aplicando
preguntar preguntando
asistir asistiendo
evitar evitando
creer creyendo
considerar considerando
contener conteniendo
continuar continuando
crear creando
desarrollar desarrollando
animar animando
disfrutar disfrutando
garantizar garantizando
establecer estableciendo
existir existiendo
esperar esperando
seguir siguiendo
suceder sucediendo
identificar identificando
mejorar mejorando
incluir incluyendo
implicar implicando
aprender aprendiendo
perder perdiendo
mantener manteniendo
gestionar gestionando
operar operando
realizar realizando
prevenir preveniendo
promover promoviendo
proteger protegiendo
proveer proveyendo
recibir recibiendo
reducir reduciendo
remitir remitiendo
permanecer permaneciendo
recordar recordando
representar representando
exigir exigiendo
