lograr logrando
agregar agregando
permitir permitiendo
aparecer apareciendo
aplicar aplicando
preguntar preguntando
asistir asistiendo
evitar evitando
creer creyendo
considerar considerando
contener conteniendo
continuar continuando
crear creando
desarrollar desarrollando
alentar alentando
disfrutar disfrutando
asegurar asegurando
establecer estableciendo
existir existiendo
esperar esperando
seguir siguiendo
suceder sucediendo
identificar identificando
mejorar mejorando
incluir incluyendo
involucrar involucrando
aprender aprendiendo
perder perdiendo
mantener manteniendo
manejar manejando
operar operando
realizar realizando
prevenir previniendo
promover promoviendo
proteger protegiendo
proveer proveyendo
recibir recibiendo
reducir reduciendo
referir refiriendo
permanecer permaneciendo
recordar recordando
representar representando
requerir requiriendo
parecer pareciendo
sentarse sentando
gastar gastando
enseñar enseñando
decir diciendo
entender entendiendo
