aceptar acepta
lograr logra
agregar agrega
acordar acuerda
permitir permite
aparecer aparece
aplicar aplica
preguntar pregunta
evitar evita
creer cree
considerar considera
consistir consiste
contener contiene
continuar continúa
crear crea
describir describe
desarrollar desarrolla
habilitar habilita
disfrutar disfruta
asegurar asegura
existir existe
explicar explica
seguir sigue
suceder sucede
oír oye
identificar identifica
mejorar mejora
incluir incluye
involucrar involucra
aprender aprende
mantener mantiene
ocurrir ocurre
operar opera
prevenir previene
promover promueve
proteger protege
proveer provee
recibir recibe
reducir reduce
referir refiere
permanecer permanece
recordar recuerda
representar representa
requerir requiere
parecer parece
enviar envía
sugerir sugiere
decir dice
entender entiende
