atmósfera gas/oxigeno/hidrógeno/nitrogeno/ozono
bolso	cuero/tela/plástico
playa	arena/mar/piedras
barba	pelo
cuerpo	piel/carne/músculos/huesos
botas	cuero/cuerina
botella	vidrio/plástico
caja	cartón/plástico/madera
pan	harina/levadura
bronce	cobre
dulce	azúcar/chocolate/gelatina/melaza/almíbar/miel/fruta
chocolate cacao
ropa tela/cuero
nube	vapor/agua
cóctel alcohol/jugo/agua
hormigón cemento/agua/arena
bandera tela/papel
casa ladrillos/cemento/madera/arcilla
hielo agua/oxígeno/hidrógeno/h2o
mermelada fruta/azúcar
vaquero tela/mezclilla
lente	vidrio/plástico
espejo	vidrio/bronce
dinero	papel/metal/plata/oro/hierro/cobre
oceano	agua
omelette huevos/queso
moneda	metal/bronce/níquel/zinc/cobre/estaño
pastilla remedio/droga
plástico polímero/petróleo/gas/carbón
techo tejas/madera/metal
mar agua
nieve agua/oxígeno/hidrógeno/hielo
cuchara aluminio/madera/acero
mesa	madera/metal/plástico
pared	cemento/ladrillo/piedra
agua	oxígeno/hidrógeno/h2o
peluca pelo
vino uvas 
cable	plástico/cobre
yogurt	leche/soja
