adquirir readquirir
ajustar reajustar
aparecer reaparecer
aplicar reaplicar
nombrar renombrar
organizar reorganizar
evaluar reevaluar
asignar reasignar
asegurar reasegurar
calcular recalcular
conocer reconocer
configurar reconfigurar
confirmar reconfirmar
conectar reconectar
considerar reconsiderar
crear recrear
decorar redecorar
definir redefinir
desarrollar redesarrollar
descubrir redescubrir
distribuir redistribuir
emerger resurgir
establecer restablecer
evaluar reevaluar
examinar reexaminar
generar regenerar
instalar reinstalar
integrar reintegrar
interpretar reinterpretar
introducir reintroducir
invertir reinvertir
aprender reaprender
ubicar reubicar
negociar renegociar
organizar reorganizar
publicar republicar
enviar reenviar
cargar recargar
escribir reescribir
