aceptar aceptable
alcanzar alcanzable
adaptar adaptable
ajustar ajustable
admirar admirable
adorar adorable
aconsejar aconsejable
evitar evitable
creer creíble
considerar considerable
contener contenible
definir definible
entregar entregable
descubrir descubrible
desechar desechable
descargar descargable
editar editable
disfrutar disfrutable
ejecutar ejecutable
ampliar ampliable
esperar esperable
explicar explicable
extender extendible
identificar identificable
imaginar imaginable
mejorar mejorable
inflar inflable
aprender aprendible
mantener mantenible
gestionar gestionable
observar observable
realizar realizable
predecir predecible
preferir preferible
prevenir prevenible
proteger protegible
publicar publicable
reconocer reconocible
recomendar recomendable
fiar fiable
renovar renovable
sustituir sustituible
representar representable
sostener sostenible
comprender comprendible
variar variable
escribir escribible
