descurbir descubrimiento 
sentir sentimiento 
ungir ungimiento 
abatir abatimiento 
pensar pensamiento 
correr corrimiento 
mantener mantenimiento 
recubrir recubrimiento 
arrepentir arrepentimiento 
cumplir cumplimiento 
asentir asentimiento 
envejecer envejecimiento 
establecer establecimiento 
empoderar empoderamiento 
adiestrar adiestramiento 
alojar alojamiento 
jurar juramento 
reclutar reclutamiento
entrenar entrenamiento 
financiar financiamento 
acercar acercamiento 
nombrar nombramiento 
alinear alineamiento 
acondicionar acondicionamiento 
agradecer agradecimiento 
apartar apartamiento 
crecer crecimiento 
desplazar desplazamiento 
cumplir cumplimiento 
perfeccionar perfeccionamiento 
tratar tratamiento 
emparejar emparejamiento 
reconocer reconocimiento 
rendir rendimiento 
requerir requerimiento 
resentir resentimiento 
reforzar reforzamiento 
acoplar acoplamiento 
almacenar almacenamiento 
avistar avistamiento 

