andorra catalán
argentina español
australia inglés
austria alemán
bahamas inglés
bangladés bengalí 
barbados inglés
belice inglés
bolivia español
brasil portugués
camboya jemer
chile español
colombia español
cuba español
chipre griego 
dinamarca danés 
ecuador español
egipto árabe
etiopía amhárico
fiyi inglés
guadalupe francés
guatemala español
guyana inglés
irán persa
iraq árabe
irlanda inglés 
israel hebreo 
jamaica inglés 
jordania árabe
kazajistán kazajo
kosovo albanés 
kuwait árabe
méxico español 
moldavia moldavo 
marruecos bereber 
mozambique portugués
holanda neerlandés
nicaragua español
noruega noruego 
palestina árabe
perú español
filipinas tagalo 
siria árabe
taiwán chino
venezuela español
uruguay español
nigeria inglés
senegal francés
