enojado enojadísimo
barato baratísimo
inteligente inteligentísimo
rápido rapidísimo
lento lentísimo
costoso costosísimo
lindo lindísimo
denso densísimo
duro durísimo
blando blandísimo
tonto tontísimo
jodido jodidísimo
hábil habilísimo
feliz felicísimo
flaco flaquisimo
sano sanísimo
salado saladísimo
dulce dulcísimo
grande grandísimo
lleno llenísimo
perezoso perezosísimo
largo larguísimo
afortunado afortunadísimo
profundo profundísimo
ancho anchísimo
liviano livianísimo
pesado pesadísimo
orgulloso orgullosísimo
aburrido aburridísimo
puro purísimo
raro rarísimo
arriesgado arriesgadísimo
grosero groserísimo
triste tristísimo
bello bellísimo
grueso gruesísimo
gordo gordísimo
relajado relajadísimo
fino finísimo
contento contentísimo
extraño extrañísimo
complicado complicadísimo
fuerte fuertísimo
grave gravísimo
importante importantísimo
sabroso sabrosísimo
pequeño pequeñísimo
difícil dificilísimo
feo feísimo
mojado mojadísimo
rico riquísimo
raro rarísimo
