aceptar aceptado
conseguir conseguido
añadir añadido
acordar acordado
permitir permitido
anunciar anunciado
aparecer aparecido
aplicar aplicado
preguntar preguntado
asistir asistido
creer creído
considerar considerado
continuar continuado
crear creado
decidir decidido
describir descrito
desarrollar desarrollado
descubrir descubierto
disfrutar disfrutado
garantizar garantizado
establecer establecido
esperar esperado
seguir seguido
oír oído
identificar identificado
mejorar mejorado
incluir incluido
introducir introducido
implicar implicado
localizar localizado
perder perdido
gestionar gestionado
casarse casado
realizar realizado
proporcionar proporcionado
publicar publicado
recibir recibido
reducir reducido
remitir remitido
relacionar relacionado
permanecer permanecido
sustituir sustituido
requerir requerido
parecer parecido
enviar enviado
gastar gastado
contar contado
entender entendido
unir unido
