anaconda víbora
hormiga insecto 
castor roedor 
abeja insecto 
escarabajo insecto 
búfalo bovino
mariposa insecto
gato felino 
gallina ave 
chimpancé primate 
chinchilla roedor 
cobra vibora 
cucaracha insecto 
vaca mamífero 
ciervo mamífero
perro canino 
pato ave
zorro canino
cabra ovino 
ganso ave 
gorila primate
humano primate 
jaguar felino 
leopardo felino 
león felino 
cobra serpiente 
ratón roedor 
orangután primate 
pony caballo 
puercoespín roedor 
ardilla roedor 
velociraptor dinosaurio 
tigre felino 
triceratops dinosaurio 
tiranosaurio dinosaurio 
lobo canino 
ñandú ave
cisne ave 
