avión	aeroplano 
auto	automóvil/coche/vehículo
bebé	infante/criatura/niño/niña
bicicleta bici
ropa	vestimenta/indumentaria/vestuario/prenda
confundido desconcertado/perdido/desorientado/confuso
confundida desconcertada/perdida/desorientada/confusa
enfasis	intensidad/realce/acento/vehemencia
padre	progenitor/papá/pa/papi
puerto desembarcadero/embarcadero/muelle
ayuda	auxilio/socorro
homogéneo uniforme/indiferenciado/equilibrado
honesto	sincero/verdadero/confiable
honesta	sincera/verdadera/confiable
idéntico igual/exacto/equivalente/parejo/análogo/gemelo
incorrecto equivocado/erróneo/falso
inteligente capaz/ingenioso/despierto
inteligente capaz/ingeniosa/despierta
joya	alhaja
dama	señora/mujer
perezoso vago/holgazán/dejado
perezosa vaga/holgazana/dejada
confiable fiel/leal/confiable/fidedigno/honesto
confiable fiel/leal/confiable/fidedigna/honesta
mercado feria/bazar/kiosko/supermercado
monumento monolito/obelisco/pirámide/estatua
madre progenitora/mamá/ma/mami
asesinato homicidio/crimen/muerte
nuevo reciente/inédito/moderno
obsoleto anticuado/desusado/viejo/antiguo 
organizado sistematizado/ordenado
teléfono celular/móvil/telefonía
racional lógico/coherente/razonable
razonal sensato/prudente/racional
costa litoral/orilla/playa
víbora 	serpiente/culebr
esposo cónyuge/pareja/marido/compañero
esposa cónyuge/pareja/compañera
dulce postre/azucarado/dulzón
vocabulario léxico/terminología/jerga
