estimulo,respuestas,count,rank,porcentaje
Argentina - Buenos_Aires - Brasil,Brasilia,87,1,90.625
Argentina - Buenos_Aires - Brasil,Río_de_Janeiro,6,2,6.25
Argentina - Buenos_Aires - Brasil,San_Pablo,2,3,2.083333333333333
Argentina - Buenos_Aires - Brasil,Brasil,1,4,1.0416666666666665
Brasil - samba - Cuba,salsa,57,1,60.0
Brasil - samba - Cuba,rumba,11,2,11.578947368421053
Brasil - samba - Cuba,son,10,3,10.526315789473683
Brasil - samba - Cuba,bachata,4,4,4.2105263157894735
Brasil - samba - Cuba,cumbia,3,5,3.1578947368421053
Brasil - samba - Cuba,arroz,1,6,1.0526315789473684
Brasil - samba - Cuba,baile_típico_de_cuba,1,6,1.0526315789473684
Brasil - samba - Cuba,chachachá,1,6,1.0526315789473684
Brasil - samba - Cuba,conga,1,6,1.0526315789473684
Brasil - samba - Cuba,danzón,1,6,1.0526315789473684
Brasil - samba - Cuba,flamenco,1,6,1.0526315789473684
Brasil - samba - Cuba,merengue,1,6,1.0526315789473684
Brasil - samba - Cuba,plena,1,6,1.0526315789473684
Brasil - samba - Cuba,trova,1,6,1.0526315789473684
Brasil - samba - Cuba,zumba,1,6,1.0526315789473684
China - Asia - Rusia,Eurasia,38,1,37.254901960784316
China - Asia - Rusia,Europa,35,2,34.31372549019608
China - Asia - Rusia,Asia,25,3,24.509803921568626
China - Asia - Rusia,Europa_del_Este,1,4,0.9803921568627451
China - Asia - Rusia,Moscú,1,4,0.9803921568627451
China - Asia - Rusia,Siberia,1,4,0.9803921568627451
China - Asia - Rusia,vodka,1,4,0.9803921568627451
Francia - París - Estados_Unidos,Washington,92,1,90.19607843137256
Francia - París - Estados_Unidos,Nueva_York,7,2,6.862745098039216
Francia - París - Estados_Unidos,DC,1,3,0.9803921568627451
Francia - París - Estados_Unidos,Francia,1,3,0.9803921568627451
Francia - París - Estados_Unidos,los_angeles,1,3,0.9803921568627451
París - Francia - Roma,Italia,77,1,93.90243902439023
París - Francia - Roma,Coliseo,1,2,1.2195121951219512
París - Francia - Roma,España,1,2,1.2195121951219512
París - Francia - Roma,Grecia,1,2,1.2195121951219512
París - Francia - Roma,Torre_de_Pisa,1,2,1.2195121951219512
París - Francia - Roma,pizza,1,2,1.2195121951219512
Uruguay - fútbol - Estados_Unidos,béisbol,40,1,48.19277108433735
Uruguay - fútbol - Estados_Unidos,fútbol_americano,14,2,16.867469879518072
Uruguay - fútbol - Estados_Unidos,básquetbol,12,3,14.457831325301203
Uruguay - fútbol - Estados_Unidos,rugby,4,4,4.819277108433735
Uruguay - fútbol - Estados_Unidos,soccer,4,4,4.819277108433735
