estimulo,respuestas,count,rank
Argentina - Buenos_Aires - Brasil,Brasilia,87,1
Argentina - Buenos_Aires - Brasil,Río_de_Janeiro,6,2
Argentina - Buenos_Aires - Brasil,San_Pablo,2,3
Argentina - Buenos_Aires - Brasil,Brasil,1,4
Brasil - samba - Cuba,salsa,57,1
Brasil - samba - Cuba,rumba,11,2
Brasil - samba - Cuba,son,10,3
Brasil - samba - Cuba,bachata,4,4
Brasil - samba - Cuba,cumbia,3,5
Brasil - samba - Cuba,arroz,1,6
Brasil - samba - Cuba,baile_típico_de_cuba,1,6
Brasil - samba - Cuba,chachachá,1,6
Brasil - samba - Cuba,conga,1,6
Brasil - samba - Cuba,danzón,1,6
Brasil - samba - Cuba,flamenco,1,6
Brasil - samba - Cuba,merengue,1,6
Brasil - samba - Cuba,plena,1,6
Brasil - samba - Cuba,trova,1,6
Brasil - samba - Cuba,zumba,1,6
China - Asia - Rusia,Eurasia,38,1
China - Asia - Rusia,Europa,35,2
China - Asia - Rusia,Asia,25,3
China - Asia - Rusia,Europa_del_Este,1,4
China - Asia - Rusia,Moscú,1,4
China - Asia - Rusia,Siberia,1,4
China - Asia - Rusia,vodka,1,4
Francia - París - Estados_Unidos,Washington,92,1
Francia - París - Estados_Unidos,Nueva_York,7,2
Francia - París - Estados_Unidos,DC,1,3
Francia - París - Estados_Unidos,Francia,1,3
Francia - París - Estados_Unidos,los_angeles,1,3
París - Francia - Roma,Italia,77,1
París - Francia - Roma,Coliseo,1,2
París - Francia - Roma,España,1,2
París - Francia - Roma,Grecia,1,2
París - Francia - Roma,Torre_de_Pisa,1,2
París - Francia - Roma,pizza,1,2
Uruguay - fútbol - Estados_Unidos,béisbol,40,1
Uruguay - fútbol - Estados_Unidos,fútbol_americano,14,2
Uruguay - fútbol - Estados_Unidos,básquetbol,12,3
Uruguay - fútbol - Estados_Unidos,rugby,4,4
Uruguay - fútbol - Estados_Unidos,soccer,4,4
Uruguay - fútbol - Estados_Unidos,basket,2,5
Uruguay - fútbol - Estados_Unidos,fútbol,2,5
Uruguay - fútbol - Estados_Unidos,comida_chatarra,1,6
Uruguay - fútbol - Estados_Unidos,guerra,1,6
Uruguay - fútbol - Estados_Unidos,hockey,1,6
Uruguay - fútbol - Estados_Unidos,nfl,1,6
Uruguay - fútbol - Estados_Unidos,obesidad,1,6
abogado - corte - doctor,hospital,58,1
abogado - corte - doctor,consultorio,16,2
abogado - corte - doctor,clínica,4,3
abogado - corte - doctor,block,2,4
abogado - corte - doctor,ateneo,1,5
abogado - corte - doctor,cirugía,1,5
abogado - corte - doctor,confección,1,5
abogado - corte - doctor,estetoscopio,1,5
abogado - corte - doctor,lectura,1,5
abogado - corte - doctor,norma,1,5
abogado - corte - doctor,paciente,1,5
abogado - corte - doctor,sanatorio,1,5
abogado - corte - doctor,ética,1,5
amigos - felicidad - jefe,trabajo,15,1
amigos - felicidad - jefe,autoridad,7,2
amigos - felicidad - jefe,responsabilidad,6,3
amigos - felicidad - jefe,respeto,5,4
amigos - felicidad - jefe,tristeza,5,4
amigos - felicidad - jefe,infelicidad,4,5
amigos - felicidad - jefe,obediencia,4,5
amigos - felicidad - jefe,enojo,3,6
amigos - felicidad - jefe,obligación,3,6
amigos - felicidad - jefe,seriedad,3,6
amigos - felicidad - jefe,angustia,2,7
amigos - felicidad - jefe,estrés,2,7
amigos - felicidad - jefe,órdenes,2,7
amigos - felicidad - jefe,aburrimiento,1,8
amigos - felicidad - jefe,aguantar,1,8
amigos - felicidad - jefe,confianza,1,8
amigos - felicidad - jefe,control,1,8
amigos - felicidad - jefe,depresión,1,8
amigos - felicidad - jefe,disciplina,1,8
amigos - felicidad - jefe,distancia,1,8
amigos - felicidad - jefe,eficiencia,1,8
amigos - felicidad - jefe,empleados,1,8
amigos - felicidad - jefe,exigencia,1,8
amigos - felicidad - jefe,formalidad,1,8
amigos - felicidad - jefe,frustración,1,8
amigos - felicidad - jefe,incertidumbre,1,8
amigos - felicidad - jefe,indiferencia,1,8
amigos - felicidad - jefe,inequidad,1,8
amigos - felicidad - jefe,ira,1,8
amigos - felicidad - jefe,liderazgo,1,8
amigos - felicidad - jefe,maldad,1,8
amigos - felicidad - jefe,mando,1,8
amigos - felicidad - jefe,miedo,1,8
amigos - felicidad - jefe,molestia,1,8
amigos - felicidad - jefe,muerte,1,8
amigos - felicidad - jefe,orden,1,8
amigos - felicidad - jefe,organización,1,8
amigos - felicidad - jefe,plata,1,8
amigos - felicidad - jefe,productividad,1,8
